Identyfikator zbioru danych;Organ zgłaszający;TERYT;Usługa pobierania;01.01.1900
PL.PZGiK.282;Starosta Powiatu Jędrzejowskiego;2602;https://jedrzejow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.284;Starosta Kolneński;2006;https://kolnenski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.285;Starosta Wałbrzyski;0221;https://walbrzyski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.286;Starosta Powiatu Wysokomazowieckiego;2013;http://wysokomazowiecki.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.287;Starosta Zwoleński;1436;https://zwolenpowiat.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.288;Starosta Chełmski;0603;https://chelmski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.289;Starosta Limanowski;1207;https://limanowski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.290;Starosta Kłobucki;2406;https://powiatklobucki.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.291;Prezydent Miasta Gdańska;2261;https://ewid-wms.gdansk.gda.pl/iip/ows;01.01.1900
PL.PZGiK.292;Starosta Powiatu Otwockiego;1417;https://powiat-otwocki.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.293;Starosta Kamieński;3207;https://ikerg.powiatkamienski.pl/kamien;01.01.1900
PL.PZGiK.294;Prezydent Miasta Gorzowa Wielkopolskiego;0861;https://geoportal.wms.um.gorzow.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.295;Starosta Przysuski;1423;http://przysucha.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.296;Prezydent Miasta Płocka;1462;https://wms-ggk.plock.eu:4443/iip/ows;01.01.1900
PL.PZGiK.301;Starosta Bielski w Bielsku Podlaskim;2003;https://powiatbielski.geoportal2.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.302;Starosta Piaseczyński;1418;https://wms.epodgik.pl/cgi-bin/piaseczno;01.01.1900
PL.PZGiK.307;Prezydent Miasta Krakowa;1261;https://geodezja.eco.um.krakow.pl/krakow-egib;01.01.1900
PL.PZGiK.329;Starosta Biłgorajski;0602;https://bilgorajski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.331;Prezydent Miasta Zawiercie;241602;https://wms.zawiercie.eu/zawiercie-egib;01.01.1900
PL.PZGiK.355;Starosta Tomaszowski;1016;https://powiat-tomaszowski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.356;Starosta Górowski;0204;https://gora.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.357;Starosta Strzeliński;0217;https://strzelinski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.358;Starosta Lubliniecki;2407;http://83.17.150.14/lubliniec-egib;01.01.1900
PL.PZGiK.359;Starosta Powiatu Elbląskiego;2804;https://ikerg.powiat.elblag.pl/elblaski-egib;01.01.1900
PL.PZGiK.360;Starosta Powiatu Siemiatyckiego;2010;https://geoportal.siemiatycze.pl/siemiatycze-egib;01.01.1900
PL.PZGiK.361;Starosta Pabianicki;1008;https://pabianice.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.362;Prezydent Miasta Suwałk;2063;https://geoportal.um.suwalki.pl/ggp;01.01.1900
PL.PZGiK.363;Starosta Grajewski;2004;http://starostwograjewo.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.364;Starosta Powiatu Łosickiego;1410;https://losice.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.365;Starosta Gryficki;3205;https://ikerg.podgikgryfice.pl/gryfice-egib;01.01.1900
PL.PZGiK.366;Starosta Sokólski;2011;https://powiatsokolski.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.367;Starosta Moniecki;2008;https://monki.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.368;Prezydent Miasta Zamość;0664;https://zamosc.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.369;Starosta Będziński;2401;https://ikerg.powiat.bedzin.pl/bedzin-egib;01.01.1900
PL.PZGiK.371;Burmistrz Miasta i Gminy Wolbrom;121207_3;https://wolbrom.webewid.pl:4444/iip/ows;01.01.1900
PL.PZGiK.372;Starosta Proszowicki;1214;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/1214;01.01.1900
PL.PZGiK.373;Starosta Hajnowski;2005;https://hajnowka.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.374;Starosta Powiatu Garwolińskiego;1403;https://garwolinski.geoportal2.pl:8443/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.375;Starosta Toruński;0415;https://torunski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.376;Starosta Białobrzeski;1401;https://bialobrzegi.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.377;Starosta Łukowski;0611;https://powiatlukowski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.378;Starosta Siedlecki;1426;https://powiatsiedlecki.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.379;Starosta Powiatu Myślenickiego;1209;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/1209;01.01.1900
PL.PZGiK.380;Starosta Suwalski;2012;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/2012;01.01.1900
PL.PZGiK.983;Starosta Międzyrzecki;0803;https://powiat-miedzyrzecki.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.985;Starosta Wschowski;0812;http://wschowa.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.986;Starosta Powiatu Człuchowskiego;2203;https://wms.czluchow.org.pl/iip/ows;01.01.1900
PL.PZGiK.987;Starosta Powiatu Ryckiego;0616;https://ryki.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
